,trade_date,ts_code,pre_close,up_limit,down_limit
494,20191009,002036.SZ,13.85,15.24,12.47
495,20191009,002037.SZ,7.13,7.84,6.42
496,20191009,002038.SZ,12.63,13.89,11.37
497,20191009,002039.SZ,14.12,15.53,12.71
498,20191009,002040.SZ,7.12,7.83,6.41
499,20191009,002041.SZ,8.5,9.35,7.65
500,20191009,002042.SZ,7.32,8.05,6.59
501,20191009,002043.SZ,5.29,5.82,4.76
502,20191009,002044.SZ,12.25,13.48,11.03
503,20191009,002045.SZ,7.02,7.72,6.32
504,20191009,002046.SZ,7.41,8.15,6.67
505,20191009,002047.SZ,5.11,5.62,4.6
506,20191009,002048.SZ,14.45,15.9,13.01
507,20191009,002049.SZ,50.73,55.8,45.66
508,20191009,002050.SZ,13.07,14.38,11.76
509,20191009,002051.SZ,9.97,10.97,8.97
510,20191009,002052.SZ,4.51,4.96,4.06
511,20191009,002053.SZ,7.03,7.73,6.33
512,20191009,002054.SZ,7.58,8.34,6.82
513,20191009,002055.SZ,10.05,11.06,9.05
514,20191009,002056.SZ,6.93,7.62,6.24
515,20191009,002057.SZ,10.22,11.24,9.2
516,20191009,002058.SZ,14.2,15.62,12.78
517,20191009,002059.SZ,5.28,5.81,4.75
518,20191009,002060.SZ,3.08,3.39,2.77
519,20191009,002061.SZ,5.19,5.71,4.67
520,20191009,002062.SZ,3.42,3.76,3.08
521,20191009,002063.SZ,9.58,10.54,8.62
522,20191009,002064.SZ,5.16,5.68,4.64
523,20191009,002065.SZ,6.71,7.38,6.04
524,20191009,002066.SZ,7.82,8.6,7.04
525,20191009,002067.SZ,3.1,3.41,2.79
526,20191009,002068.SZ,4.91,5.4,4.42
527,20191009,002069.SZ,2.95,3.25,2.66
528,20191009,002071.SZ,3.13,3.44,2.82
529,20191009,002072.SZ,4.91,5.16,4.66
530,20191009,002073.SZ,5.65,6.22,5.09
531,20191009,002074.SZ,12.26,13.49,11.03
532,20191009,002075.SZ,7.22,7.94,6.5
533,20191009,002076.SZ,2.61,2.87,2.35
534,20191009,002077.SZ,5.57,6.13,5.01
535,20191009,002078.SZ,7.7,8.47,6.93
536,20191009,002079.SZ,7.22,7.94,6.5
537,20191009,002080.SZ,10.97,12.07,9.87
538,20191009,002081.SZ,9.09,10.0,8.18
539,20191009,002082.SZ,8.51,9.36,7.66
540,20191009,002083.SZ,5.99,6.59,5.39
541,20191009,002084.SZ,5.18,5.7,4.66
542,20191009,002085.SZ,7.21,7.93,6.49
543,20191009,002086.SZ,4.08,4.28,3.88
544,20191009,002087.SZ,3.42,3.76,3.08
545,20191009,002088.SZ,11.51,12.66,10.36
546,20191009,002089.SZ,2.05,2.15,1.95
547,20191009,002090.SZ,10.95,12.05,9.86
548,20191009,002091.SZ,5.4,5.94,4.86
549,20191009,002092.SZ,6.95,7.65,6.26
550,20191009,002093.SZ,8.84,9.72,7.96
551,20191009,002094.SZ,4.91,5.4,4.42
552,20191009,002095.SZ,23.78,26.16,21.4
553,20191009,002096.SZ,6.7,7.37,6.03
554,20191009,002097.SZ,5.75,6.33,5.18
555,20191009,002098.SZ,6.28,6.91,5.65
